1917,Havana [Mason Co.]
1918,Hebron [McHenry Co.]
1919,Hennepin [Putnam Co.]
1920,Henry [Marshall Co.]
1921,Herrin [Williamson Co.]
1922,Herscher [Kankakee Co.]
1923,Heyworth [Mc Lean Co.]
1924,Highland [Madison Co.]
1925,Highland Park [Lake Co.]
1926,Hillsboro [Montgomery Co.]
1927,Hinckley [De Kalb Co.]
1928,Hinsdale [Du Page Co.] [Cook Co.]
1929,Homer [Champaign Co.]
1930,Hoopeston [Vermilion Co.]
1931,Hopedale [Tazewell Co.]
1932,Hull [Pike Co.]
1933,Hume [Edgar Co.]
1934,Huntley [McHenry Co.]
1935,Illiopolis [Sangamon Co.]
1936,Industry [McDonough Co.]
1937,Iola [Clay Co.]
1938,Ipava [Fulton Co.]
1939,Jacksonville [Morgan Co.]
1940,Jerseyville [Jersey Co.]
1941,Johnston City [Williamston Co.]
1942,Joliet [Will Co.]
1943,Jonesboro [Union Co.]
1944,Kane [Greene Co.]
1945,Kankakee [Kankakee Co.]
1946,Kansas [Edgar Co.]
1947,Keithsburg [Mercer Co.]
1948,Kenney [De Witt Co.]
1949,Kewanee [Henry Co.]
1950,Keyesport [Bond Co.] [Clinton Co.]
1951,Kincaid [Christian Co.]
1952,Kingston [De Kalb Co.]
1953,Kinmundy [Marion Co.]
1954,Kirkland [De Kalb Co.]
1955,Kirkwood [Warren Co.]
1956,Knoxville [Knox Co.]
1957,La Harpe [Hancock Co.]
1958,La Moille [Bureau Co.]
1959,La Salle [La Salle Co.]
1960,Lacon [Marshall Co.]
1961,Ladd [Bureau Co.]
1962,Lake Bluff [Lake Co.]
1963,Lake Forest [Lake Co.]
1964,Lanark [Carroll Co.]
1965,Lawrenceville [Lawrence Co.]
1966,Le Roy [McLean Co.]
1967,Lebanon [Saint Clair Co.]
1968,Lemont [Cook Co.]
1969,Lena [Stephenson Co.]
1970,Lenzburg [Saint Clair Co.]
1971,Lewistown [Fulton Co.]
1972,Lexington [McLean Co.]
1973,Libertyville [Lake Co.]
1974,Lincoln [Logan Co.]
1975,Litchfield [Montgomery Co.]
1976,Livingston [Madison Co.]
1977,Loami [Sangamon Co.]
1978,Lockport [Will Co.]
1979,Loda [Iroquois Co.]
1980,Lombard [Du Page Co.]
1981,London Mills [Fulton Co.]
1982,Lostant [La Salle Co.]
1983,Louisville [Clay Co.]
1984,Lovington [Moultrie Co.]
1985,McHenry [McHenry Co.]
1986,Mackinaw [Tazewell Co.]
1987,McLean [McLean Co.]
1988,McLeansboro [Hamilton Co.]
1989,Macomb [McDonough Co.]
1990,Macon [Macon Co.]
1991,Manhattan [Will Co.]
1992,Manito [Mason Co.]
1993,Mansfield [Piatt Co.]
1994,Manteno [Kankakee Co.]
1995,Marengo [McHenry Co.]
1996,Marion [Williamson Co.]
1997,Marissa [Saint Clair Co.]
1998,Maroa [Macon Co.]
1999,Marseilles [La Salle Co.]
2000,Marshall [Clark Co.]
2001,Martinsville [Clark Co.]
2002,Mascoutah [Saint Clair Co.]
2003,Mason City [Mason Co.]
2004,Mattoon [Coles Co.]
2005,Mendon [Adams Co.]
2006,Mendota [La Salle Co.]
2007,Meredosia [Morgan Co.]
2008,Metamora [Woodford Co.]
2009,Metropolis [Massac Co.]
2010,Middletown [Logan Co.]
2011,Milan [Rock Island Co.]
2012,Milford [Iroquois Co.]
2013,Milledgeville [Carroll Co.]
2014,Millstadt [Saint Clair Co.]
2015,Minier [Tazewell Co.]
2016,Minonk [Woodford Co.]
2017,Minooka [Grundy Co.]
2018,Moline [Rock Island Co.]
2019,Momence [Kankakee Co.]
2020,Monmouth [Warren Co.]
2021,Monticello [Piatt Co.]
2022,Morris [Grundy Co.]
2023,Morrison [Whiteside Co.]
2024,Morrisonville [Christian Co.]
2025,Morton [Tazewell Co.]
2026,Mound City [Pulaski Co.]
2027,Mounds [Pulaski Co.]
2028,Mount Carmel [Wabash Co.]
2029,Mount Carroll [Carroll Co.]
2030,Mount Morris [Ogle Co.]
2031,Mount Olive [Macoupin Co.]
2032,Mount Pulaski [Logan Co.]
2033,Mount Sterling [Brown Co.]
2034,Mount Vernon [Jefferson Co.]
2035,Moweaqua [Shelby Co.]
2036,Mundelein [Lake Co.]
2037,Murphysboro [Jackson Co.]
2038,Naperville [Du Page Co.]
2039,Nashville [Washington Co.]
2040,Nauvoo [Hancock Co.]
2041,Neoga [Cumberland Co.]
2042,Neponset [Bureau Co.]
2043,New Athens [Saint Clair Co.]
2044,New Baden [Clinton Co.]
2045,New Berlin [Sangamon Co.]
2046,New Boston [Mercer Co.]
2047,New Burnside [Johnson Co.]
2048,New Haven [Gallatin Co.]
